timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1729816167403,2329,Formulario-textbox-135-1,200,OK,Usuarios 1-132,text,true,,3436,116,989,989,https://demoqa.com/text-box,2329,0,1121
1729816166709,3024,Formulario-textbox-96,200,OK,Usuarios 1-97,text,true,,3827,408,987,987,https://demoqa.com/text-box,565,0,255
1729816166709,565,Formulario-textbox-96-0,301,Moved Permanently,Usuarios 1-97,text,true,,391,292,987,987,http://demoqa.com/text-box,565,0,255
1729816167275,2458,Formulario-textbox-96-1,200,OK,Usuarios 1-97,text,true,,3436,116,987,987,https://demoqa.com/text-box,2457,0,1251
1729816166945,2847,Formulario-textbox-182,200,OK,Usuarios 1-184,text,true,,3827,404,986,986,https://demoqa.com/text-box,614,0,251
1729816166821,2971,Formulario-textbox-138,200,OK,Usuarios 1-138,text,true,,3827,406,986,986,https://demoqa.com/text-box,640,0,236
1729816166945,614,Formulario-textbox-182-0,301,Moved Permanently,Usuarios 1-184,text,true,,391,288,986,986,http://demoqa.com/text-box,614,0,251
1729816166821,640,Formulario-textbox-138-0,301,Moved Permanently,Usuarios 1-138,text,true,,391,290,986,986,http://demoqa.com/text-box,640,0,236
1729816167559,2233,Formulario-textbox-182-1,200,OK,Usuarios 1-184,text,true,,3436,116,986,986,https://demoqa.com/text-box,2233,0,966
1729816167462,2330,Formulario-textbox-138-1,200,OK,Usuarios 1-138,text,true,,3436,116,986,986,https://demoqa.com/text-box,2330,0,1062
1729816166808,2985,Formulario-textbox-130,200,OK,Usuarios 1-128,text,true,,3827,401,986,986,https://demoqa.com/text-box,594,0,237
1729816166596,3197,Formulario-textbox-8,200,OK,Usuarios 1-6,text,true,,3827,412,986,986,https://demoqa.com/text-box,566,0,297
1729816166808,594,Formulario-textbox-130-0,301,Moved Permanently,Usuarios 1-128,text,true,,391,285,986,986,http://demoqa.com/text-box,594,0,237
1729816166596,566,Formulario-textbox-8-0,301,Moved Permanently,Usuarios 1-6,text,true,,391,296,986,986,http://demoqa.com/text-box,566,0,297
1729816167402,2391,Formulario-textbox-130-1,200,OK,Usuarios 1-128,text,true,,3436,116,986,986,https://demoqa.com/text-box,2391,0,1123
1729816167163,2630,Formulario-textbox-8-1,200,OK,Usuarios 1-6,text,true,,3436,116,986,986,https://demoqa.com/text-box,2630,0,1361
1729816166754,3102,Formulario-textbox-113,200,OK,Usuarios 1-114,text,true,,3827,410,982,982,https://demoqa.com/text-box,613,0,247
1729816166754,613,Formulario-textbox-113-0,301,Moved Permanently,Usuarios 1-114,text,true,,391,294,982,982,http://demoqa.com/text-box,613,0,247
1729816167367,2489,Formulario-textbox-113-1,200,OK,Usuarios 1-114,text,true,,3436,116,982,982,https://demoqa.com/text-box,2489,0,1181
1729816166871,3045,Formulario-textbox-155,200,OK,Usuarios 1-154,text,true,,3827,397,981,981,https://demoqa.com/text-box,593,0,225
1729816166871,593,Formulario-textbox-155-0,301,Moved Permanently,Usuarios 1-154,text,true,,391,281,981,981,http://demoqa.com/text-box,593,0,225
1729816167464,2452,Formulario-textbox-155-1,200,OK,Usuarios 1-154,text,true,,3436,116,981,981,https://demoqa.com/text-box,2452,0,1085
1729816166964,2953,Formulario-textbox-189,200,OK,Usuarios 1-193,text,true,,3827,408,981,981,https://demoqa.com/text-box,633,0,310
1729816166964,633,Formulario-textbox-189-0,301,Moved Permanently,Usuarios 1-193,text,true,,391,292,981,981,http://demoqa.com/text-box,633,0,310
1729816167597,2320,Formulario-textbox-189-1,200,OK,Usuarios 1-193,text,true,,3436,116,981,981,https://demoqa.com/text-box,2320,0,950
1729816166689,3228,Formulario-textbox-89,200,OK,Usuarios 1-85,text,true,,3827,397,980,980,https://demoqa.com/text-box,586,0,275
